jour;categorie;value
2020-08-18;Professionnels;3541409878.0
2020-09-09;Résidentiels;10839502976.0
2020-09-22;PME / PMI;4819860107.0
2020-09-30;Professionnels;4030760544.0
2020-11-26;Professionnels;5097603888.0
2020-11-30;Résidentiels;25258955911.0
2020-12-26;Entreprises;9053482458.0
2021-01-22;Résidentiels;24725834251.0
2021-02-21;Professionnels;4063539215.0
2021-02-21;Entreprises;10560965229.0
2021-03-17;PME / PMI;3261688205.0
2021-04-08;Professionnels;4855302273.0
2021-04-09;Professionnels;4598148116.0
2021-04-19;PME / PMI;2927131670.0
2021-04-19;Entreprises;14672800391.0
2021-07-05;Résidentiels;11207814681.0
2021-07-07;Résidentiels;11017659980.0
2021-08-07;Résidentiels;11056509034.0
2021-08-07;Entreprises;10375841390.0
2021-08-12;Entreprises;13560289410.0
2021-08-29;PME / PMI;2002892771.0
2021-09-12;Professionnels;3092319653.0
2021-09-21;Professionnels;3812667445.0
2021-10-09;Résidentiels;13573697408.0
2021-10-19;Entreprises;16058340794.0
2021-10-23;PME / PMI;2601193572.0
2021-10-23;Résidentiels;16347247320.0
2021-11-15;Résidentiels;20223307401.0
2021-11-15;Entreprises;16333974656.0
2021-12-12;Résidentiels;25803030856.0
2022-01-03;Résidentiels;20978622099.0
2022-01-10;PME / PMI;3758592216.0
2022-01-21;Professionnels;6857480005.0
2022-02-13;Entreprises;12023967362.0
2022-02-18;Professionnels;5311575117.0
2017-02-28;PME / PMI;6588410622.0
2017-05-12;Professionnels;4225668330.0
2017-05-12;Entreprises;13581260390.0
2017-05-21;Entreprises;8448471358.0
2017-06-17;PME / PMI;4223240087.0
2017-06-17;Professionnels;3564656065.0
2017-07-23;Professionnels;3007951855.0
2017-08-06;PME / PMI;3638589286.0
2017-08-06;Professionnels;3044411419.0
2017-08-06;Entreprises;8219377313.0
2017-08-12;PME / PMI;3968316092.0
2017-08-12;Professionnels;3363557331.0
2017-08-21;PME / PMI;4552211431.0
2017-08-21;Résidentiels;10596402827.0
2017-09-02;Entreprises;9723749237.0
2017-09-15;Entreprises;13681103573.0
2017-09-21;Entreprises;14251487400.0
2017-10-20;Résidentiels;12370503102.0
2017-11-12;Professionnels;4347854330.0
2017-11-12;Entreprises;9066942630.0
2017-11-18;Entreprises;10707724271.0
2017-12-10;Professionnels;5400859444.0
2017-12-19;PME / PMI;7063627058.0
2017-12-19;Résidentiels;27172663699.0
2018-01-10;PME / PMI;6499223846.0
2018-01-10;Professionnels;6111038379.0
2018-01-28;Entreprises;9585763530.0
2018-02-14;Résidentiels;28671696355.0
2018-03-28;PME / PMI;6418169638.0
2018-03-28;Professionnels;5525014789.0
2018-05-05;Professionnels;3607507097.0
2018-05-05;Entreprises;9868173241.0
2018-05-08;Professionnels;2825853503.0
2018-06-19;PME / PMI;4958586015.0
2018-07-29;Professionnels;3264295879.0
2018-08-10;Entreprises;11405641302.0
2018-08-25;Résidentiels;10587480460.0
2018-09-02;Entreprises;8652258170.0
2018-09-26;PME / PMI;4891614803.0
2018-09-28;Entreprises;13853578357.0
2018-10-15;Entreprises;13269941009.0
2018-10-19;PME / PMI;4907333770.0
2018-10-19;Entreprises;13508140652.0
2018-11-27;Résidentiels;23269404978.0
2018-12-15;Professionnels;6465273326.0
2018-12-15;Entreprises;11304800428.0
2018-12-16;Entreprises;9945640415.0
2019-01-12;Professionnels;6080274793.0
2019-01-12;Entreprises;10975303182.0
2019-03-06;PME / PMI;5890372745.0
2019-03-06;Résidentiels;19981879960.0
2019-03-08;Professionnels;5412606119.0
2019-03-28;Entreprises;14329701163.0
2019-03-29;PME / PMI;5567971347.0
2019-03-29;Professionnels;4908945548.0
2019-04-16;PME / PMI;5542008638.0
2019-04-19;Entreprises;13192626111.0
2019-04-24;Professionnels;4106614352.0
2019-04-24;Entreprises;13706269737.0
2019-04-26;PME / PMI;5011430780.0
2019-04-30;Résidentiels;14209741725.0
2019-06-02;Résidentiels;11430516975.0
2019-07-04;Professionnels;4032188951.0
2019-08-19;PME / PMI;4571327060.0
2019-08-19;Professionnels;3335860293.0
2019-09-12;Entreprises;14184207947.0
2019-10-02;Entreprises;13903895689.0
2019-10-09;Entreprises;13985540157.0
2019-11-19;Professionnels;6244187484.0
2019-11-20;Entreprises;15175109574.0
2019-12-27;Professionnels;5388191805.0
2019-12-29;Résidentiels;26889613820.0
2020-01-01;Résidentiels;27309500928.0
2020-01-01;Entreprises;9386810035.0
2020-01-12;Entreprises;9569371108.0
2020-01-17;Entreprises;14194915571.0
2020-03-20;PME / PMI;4213963907.0
2020-03-22;PME / PMI;3191312511.0
2020-03-23;Résidentiels;19655649388.0
2020-03-26;Entreprises;10925035145.0
2020-04-01;Entreprises;10948955102.0
2020-05-04;Résidentiels;13012198637.0
2020-05-20;PME / PMI;3960521712.0
2020-05-28;Professionnels;3382195510.0
2020-05-28;Entreprises;12394440159.0
2020-06-03;Professionnels;3471710931.0
2020-06-08;Résidentiels;11790126362.0
2020-06-17;Entreprises;12808329958.0
2020-08-10;Résidentiels;11852956362.0
2020-08-16;Professionnels;3082800707.0
2020-08-16;Entreprises;8167339734.0
2020-09-08;Résidentiels;10669426249.0
2020-09-15;PME / PMI;4884223159.0
2020-09-15;Professionnels;3991325495.0
2020-10-10;Résidentiels;15200884965.0
2020-10-17;Professionnels;4499174053.0
2020-10-17;Résidentiels;18961998750.0
2020-11-01;Résidentiels;16441853590.0
2020-11-09;Entreprises;12747619285.0
2020-11-12;Entreprises;13033895964.0
2020-12-04;Résidentiels;25018938907.0
2021-01-04;PME / PMI;4017866533.0
2021-04-20;Professionnels;4172868816.0
2021-04-23;PME / PMI;2568871482.0
2021-05-18;Résidentiels;14796154895.0
2021-05-20;PME / PMI;2848114221.0
2021-05-20;Professionnels;4213070018.0
2021-05-25;Résidentiels;14945522166.0
2021-05-25;Entreprises;14829289290.0
2021-05-30;Résidentiels;12407687165.0
2021-07-12;Professionnels;3534369060.0
2021-08-08;PME / PMI;1978681744.0
2021-08-26;PME / PMI;2760721328.0
2021-10-02;Résidentiels;12623816599.0
2021-10-29;Professionnels;4620348956.0
2021-12-27;Entreprises;13037895828.0
2021-12-28;Professionnels;5196630513.0
2021-12-28;Résidentiels;21511171900.0
2022-01-09;Entreprises;12148315986.0
2022-01-19;PME / PMI;4107020523.0
2022-02-05;PME / PMI;3199481028.0
2017-02-20;Professionnels;5630305779.0
2017-03-03;PME / PMI;6140623692.0
2017-03-03;Professionnels;5809797080.0
2017-03-04;PME / PMI;5207797310.0
2017-03-10;Résidentiels;18106767555.0
2017-03-10;Entreprises;14019344323.0
2017-03-18;Entreprises;10206055967.0
2017-05-27;Professionnels;3391577210.0
2017-07-24;Résidentiels;10706566461.0
2017-07-30;Résidentiels;11205028457.0
2017-08-27;Entreprises;8980667584.0
2017-09-09;Résidentiels;11498509818.0
2017-09-10;Professionnels;3122120122.0
2017-09-10;Résidentiels;12143348502.0
2017-09-30;Professionnels;3619481521.0
2017-10-31;Entreprises;14110553359.0
2017-11-04;PME / PMI;4287025016.0
2017-12-06;PME / PMI;6913750014.0
2017-12-15;Professionnels;6771632120.0
2018-01-17;Résidentiels;24666043212.0
2018-01-17;Entreprises;15269743349.0
2018-01-25;Professionnels;5761053883.0
2018-01-25;Entreprises;14908579078.0
2018-02-10;Résidentiels;30553882266.0
2018-02-18;PME / PMI;4962406352.0
2018-02-18;Entreprises;9780853705.0
2018-02-22;Professionnels;7202055342.0
2018-03-11;PME / PMI;4431783929.0
2018-03-11;Professionnels;4158525385.0
2018-03-27;Professionnels;5789856842.0
2018-04-03;Entreprises;13941892615.0
2018-04-12;PME / PMI;5490231354.0
2018-04-12;Entreprises;14307092047.0
2018-04-16;Entreprises;13208646923.0
2018-05-14;Entreprises;12991126478.0
2018-06-04;Résidentiels;11060271241.0
2018-06-23;PME / PMI;4045896062.0
2018-07-28;Résidentiels;10903250362.0
2018-08-09;PME / PMI;5008226889.0
2018-08-20;Professionnels;3565321253.0
2018-09-05;Résidentiels;10512646702.0
2018-09-06;Entreprises;14254390387.0
2018-09-22;Professionnels;3641790859.0
2018-11-24;PME / PMI;5174947003.0
2018-12-12;PME / PMI;6757806267.0
2018-12-24;PME / PMI;5836473529.0
2019-01-08;PME / PMI;7010554322.0
2019-02-20;Professionnels;5662904110.0
2019-02-22;Entreprises;13997728086.0
2019-03-25;Résidentiels;18134795893.0
2019-05-31;Professionnels;3782200462.0
2019-06-07;Entreprises;13403770290.0
2019-06-09;Professionnels;3069448040.0
2019-06-21;Entreprises;13616672539.0
2019-07-21;Entreprises;9424832981.0
2019-08-18;Résidentiels;10988022086.0
2019-08-18;Entreprises;8158895768.0
2019-09-16;Professionnels;3769703331.0
2019-10-17;Résidentiels;12600869300.0
2019-11-18;Entreprises;14392162726.0
2019-11-29;Entreprises;14053840256.0
2019-12-14;Professionnels;5567974812.0
2019-12-14;Résidentiels;23575058736.0
2020-01-08;PME / PMI;6356733843.0
2020-01-16;PME / PMI;6372135524.0
2020-01-28;Résidentiels;23940941109.0
2020-02-03;Professionnels;5100175419.0
2020-02-03;Entreprises;13697091307.0
2020-02-27;Entreprises;14826412749.0
2020-03-25;PME / PMI;4491929091.0
2020-03-25;Résidentiels;20614614686.0
2020-03-25;Entreprises;10911673531.0
2020-03-29;PME / PMI;3156508322.0
2020-03-29;Résidentiels;22178921001.0
2020-04-05;Résidentiels;17237283074.0
2020-05-13;PME / PMI;4123030638.0
2020-06-12;Résidentiels;11735559503.0
2020-06-22;Professionnels;3466445002.0
2020-07-10;Professionnels;3831709784.0
2020-07-26;Professionnels;3206575562.0
2020-07-26;Entreprises;8808629025.0
2020-08-29;Entreprises;9332039844.0
2020-09-16;PME / PMI;4775739689.0
2020-09-16;Résidentiels;11084252916.0
2020-09-19;Entreprises;10041975360.0
2020-10-14;Professionnels;4803576423.0
2020-11-16;Professionnels;4375266632.0
2020-11-16;Entreprises;12917441146.0
2020-12-20;Professionnels;4553720722.0
2021-01-05;Professionnels;6850928777.0
2021-03-24;PME / PMI;3154561943.0
2021-04-17;Entreprises;11607638121.0
2021-04-30;Résidentiels;16184015392.0
2021-05-15;Entreprises;10686477158.0
2021-05-27;Résidentiels;13533768313.0
2021-06-23;Professionnels;3718865951.0
2021-07-22;Professionnels;4060105029.0
2021-07-23;Résidentiels;11275846530.0
2021-09-04;Entreprises;11853425531.0
2021-09-29;Résidentiels;11365095659.0
2021-11-30;Professionnels;6671447680.0
2021-12-31;PME / PMI;3139289412.0
2022-01-01;PME / PMI;2400545542.0
2022-01-06;Professionnels;6521085570.0
2022-01-22;Professionnels;6167971283.0
2022-01-22;Entreprises;13948440039.0
2022-01-24;Résidentiels;28682530779.0
2017-03-05;Professionnels;4997554405.0
2017-03-24;Professionnels;5593986861.0
2017-03-24;Entreprises;14087288262.0
2017-04-14;PME / PMI;4849785180.0
2017-04-16;PME / PMI;3454851572.0
2017-05-03;Professionnels;4629232241.0
2017-05-05;Professionnels;4517817907.0
2017-05-11;Entreprises;13991634459.0
2017-07-05;Résidentiels;10382931409.0
2017-07-12;Résidentiels;10405310805.0
2017-07-21;Professionnels;3843024647.0
2017-07-26;Résidentiels;10383231213.0
2017-07-26;Entreprises;13904382955.0
2017-08-25;Résidentiels;10556991041.0
2017-10-08;PME / PMI;3263476485.0
2017-10-08;Résidentiels;14854019151.0
2017-10-19;PME / PMI;4699551701.0
2017-10-25;Professionnels;4327545490.0
2017-12-18;Résidentiels;26889787139.0
2018-01-09;Professionnels;6342486874.0
2018-01-22;Résidentiels;21269802372.0
2018-02-07;Résidentiels;30041430577.0
2018-04-18;Résidentiels;12273898738.0
2018-04-29;Professionnels;3301974745.0
2018-04-29;Entreprises;8533696402.0
2018-06-13;Professionnels;3679960722.0
2018-08-05;Résidentiels;11881686440.0
2018-10-02;Résidentiels;12370404212.0
2018-10-16;Entreprises;14087517664.0
2018-11-11;Résidentiels;18263470507.0
2018-11-11;Entreprises;8769938242.0
2018-11-15;Professionnels;5120555731.0
2018-12-03;Professionnels;5278475867.0
2018-12-18;PME / PMI;6736710993.0
2019-02-03;Résidentiels;30553036093.0
2019-02-09;Entreprises;10674955232.0
2019-02-17;Résidentiels;22682424460.0
2019-03-02;Professionnels;4787437211.0
2019-03-30;Entreprises;9940043712.0
2019-04-25;PME / PMI;5131924138.0
2019-04-25;Résidentiels;13694998325.0
2019-05-24;Entreprises;13370206699.0
2019-07-02;Professionnels;3926658877.0
2019-07-02;Résidentiels;10813844206.0
2019-07-22;Entreprises;14216818537.0
2019-07-24;Résidentiels;11950036651.0
2019-08-06;Résidentiels;10409768742.0
2019-09-14;Entreprises;10105467687.0
2019-09-20;Résidentiels;10527258557.0
2019-10-06;Professionnels;3405866826.0
2019-10-31;PME / PMI;5318700087.0
2019-12-03;PME / PMI;7022012729.0
2019-12-03;Entreprises;15500169291.0
2020-01-07;PME / PMI;6663529158.0
2020-01-25;Professionnels;6003642325.0
2020-02-12;Résidentiels;22774882197.0
2020-03-14;PME / PMI;4327313567.0
2020-03-14;Entreprises;10080885965.0
2020-03-27;Résidentiels;20976571755.0
2020-04-25;Professionnels;2990351626.0
2020-04-27;Professionnels;3096296285.0
2020-05-24;Résidentiels;12232263271.0
2020-07-03;Professionnels;3718234943.0
2020-09-02;PME / PMI;4630291322.0
2020-09-06;Résidentiels;11946074783.0
2020-10-27;Résidentiels;17951149099.0
2020-11-23;Résidentiels;22282614330.0
2021-01-19;Professionnels;6314140625.0
2021-01-21;Professionnels;5780368549.0
2021-01-27;PME / PMI;3883833147.0
2021-01-28;Entreprises;16710069987.0
2021-02-02;PME / PMI;3347341623.0
2021-02-03;PME / PMI;3265088859.0
2021-03-15;Entreprises;15752108912.0
2021-04-10;Professionnels;4071787392.0
2021-04-12;Professionnels;4724152441.0
2021-04-26;Résidentiels;14698839004.0
2021-05-12;Entreprises;14669311487.0
2021-05-24;Professionnels;3478059003.0
2021-08-04;Professionnels;3523932320.0
2021-08-21;PME / PMI;2362038305.0
2021-08-22;Résidentiels;11403290937.0
2021-09-14;PME / PMI;2832587585.0
2021-10-03;Résidentiels;13135842203.0
2021-10-22;Professionnels;4742335939.0
2021-10-22;Résidentiels;15299319454.0
2021-11-02;Résidentiels;17111398434.0
2021-11-12;PME / PMI;3526953705.0
2021-11-12;Professionnels;5366727389.0
2021-12-07;Résidentiels;25716308911.0
2021-12-14;Résidentiels;24945034364.0
2021-12-14;Entreprises;17920275004.0
2021-12-17;PME / PMI;3915943805.0
2022-02-03;Professionnels;6108982595.0
2017-02-25;Résidentiels;23393839155.0
2017-03-17;PME / PMI;5368136531.0
2017-04-15;Résidentiels;15063882688.0
2017-06-01;PME / PMI;4861780598.0
2017-06-01;Résidentiels;10590083480.0
2017-06-06;PME / PMI;4848592900.0
2017-06-06;Résidentiels;10638306722.0
2017-06-28;Entreprises;14521643967.0
2017-07-02;PME / PMI;3622363213.0
2017-07-02;Résidentiels;11203368423.0
2017-08-10;Entreprises;11382243171.0
2017-10-01;Entreprises;8614671122.0
2017-10-05;Résidentiels;12359033987.0
2017-10-17;Entreprises;14227287511.0
2017-11-28;Professionnels;6460581836.0
2017-12-09;Résidentiels;28876330917.0
2017-12-12;PME / PMI;7079189013.0
2017-12-13;Entreprises;15611098492.0
2017-12-25;Entreprises;9133087579.0
2018-01-03;Résidentiels;22043153178.0
2018-01-05;PME / PMI;6142629151.0
2018-01-06;Entreprises;10419117149.0
2018-02-08;Résidentiels;30018056811.0
2018-02-08;Entreprises;15831734414.0
2018-02-15;PME / PMI;6755484959.0
2018-02-15;Professionnels;6654179410.0
2018-02-23;Résidentiels;29531205151.0
2018-03-05;PME / PMI;6607821692.0
2018-03-05;Résidentiels;24062815962.0
2018-04-10;Professionnels;4811553366.0
2018-04-24;PME / PMI;4732094382.0
2018-05-06;PME / PMI;3179668676.0
2018-05-20;PME / PMI;3175480971.0
2018-05-22;Entreprises;13357564768.0
2018-05-25;Professionnels;3839139345.0
2018-07-12;PME / PMI;5304320542.0
2018-07-16;Résidentiels;10302851531.0
2018-07-19;Professionnels;4033757417.0
2018-08-06;PME / PMI;5168718180.0
2018-08-15;Professionnels;3147319044.0
2018-09-10;Entreprises;13527134791.0
2018-09-14;PME / PMI;4836587796.0
2018-09-16;Entreprises;8769874447.0
2018-09-17;Entreprises;13683242979.0
2018-10-17;Professionnels;4087405188.0
2018-10-17;Entreprises;13995227852.0
2018-10-23;Résidentiels;13830114926.0
2018-10-23;Entreprises;14107949384.0
2018-11-16;PME / PMI;5919766168.0
2018-12-04;Professionnels;5458640285.0
2018-12-04;Entreprises;14564523356.0
2018-12-10;Entreprises;14158826249.0
2019-01-09;PME / PMI;6971970482.0
2019-02-04;Professionnels;6840412518.0
2019-02-04;Entreprises;15016410879.0
2019-02-16;Entreprises;10555811128.0
2019-03-05;Professionnels;5413600921.0
2019-03-18;Résidentiels;21189516199.0
2019-04-08;Entreprises;13369994330.0
2019-04-22;Professionnels;3290787593.0
2019-04-22;Résidentiels;12755846142.0
2019-05-23;Résidentiels;11171459725.0
2019-06-06;Entreprises;13872513645.0
2019-06-20;Entreprises;14162579498.0
2019-08-15;PME / PMI;3402992984.0
2019-08-15;Professionnels;3036536510.0
2019-09-27;Entreprises;13552994994.0
2019-09-28;PME / PMI;3796357804.0
2019-10-10;Professionnels;4315636502.0
2019-12-01;PME / PMI;4562100510.0
2019-12-01;Professionnels;5091592681.0
2019-12-08;Professionnels;4965109413.0
2019-12-08;Résidentiels;23379593872.0
2019-12-08;Entreprises;9591291558.0
2019-12-28;Professionnels;5337124385.0
2020-01-02;Entreprises;11910892602.0
2020-02-06;Entreprises;14995702346.0
2020-02-07;PME / PMI;6572105712.0
2020-02-07;Professionnels;6133576199.0
2020-02-07;Résidentiels;24134405813.0
2020-02-24;PME / PMI;5752311317.0
2020-03-12;Professionnels;5234452765.0
2020-04-19;PME / PMI;2507912228.0
2020-04-29;Entreprises;11264799862.0
2020-05-03;Entreprises;7356170675.0
2020-05-12;Résidentiels;14091316863.0
2020-05-17;Professionnels;2977093881.0
2020-05-17;Résidentiels;13616285263.0
2020-05-26;PME / PMI;4080406269.0
2020-06-06;PME / PMI;3316687144.0
2020-06-24;Professionnels;3776993735.0
2020-07-16;Professionnels;3695780869.0
2020-07-16;Résidentiels;10767547691.0
2020-07-31;Professionnels;4176529569.0
2020-09-25;Professionnels;3856919745.0
2020-10-03;Résidentiels;15819904900.0
2020-10-19;PME / PMI;5372189983.0
2020-12-22;Entreprises;12454348340.0
2020-12-27;Professionnels;5025901471.0
2021-02-04;Professionnels;5383057522.0
2021-02-11;Entreprises;17723486254.0
2021-02-22;Résidentiels;19801514820.0
2021-03-11;Professionnels;5014633393.0
2021-03-14;Entreprises;10921649692.0
2021-04-03;Résidentiels;16940205638.0
2021-04-21;PME / PMI;2752626754.0
2021-04-27;Professionnels;3964519579.0
2021-05-03;PME / PMI;2874500708.0
2021-05-05;Professionnels;4165515625.0
2021-05-08;Professionnels;3409309604.0
2021-05-08;Résidentiels;15234321848.0
2021-05-23;Professionnels;3356114784.0
2021-05-23;Résidentiels;15162820837.0
2021-06-05;Résidentiels;11816915734.0
2021-06-07;Résidentiels;11432997728.0
2021-06-18;Entreprises;15883283596.0
2021-06-21;Professionnels;3630953258.0
2021-06-21;Résidentiels;11268126860.0
2021-07-24;PME / PMI;2492485402.0
2021-10-04;PME / PMI;2979818568.0
2021-11-07;PME / PMI;2518182494.0
2021-11-07;Résidentiels;21267948415.0
2021-11-27;Entreprises;13614608813.0
2021-12-11;PME / PMI;3372545804.0
2021-12-11;Professionnels;5938305271.0
2022-01-26;Entreprises;18571571650.0
2022-02-14;Entreprises;16485526152.0
2017-02-27;Entreprises;14130858306.0
2017-03-12;Professionnels;4183520788.0
2017-03-13;Entreprises;13778770367.0
2017-03-15;PME / PMI;5581032691.0
2017-03-15;Professionnels;5073328855.0
2017-03-23;PME / PMI;6023720435.0
2017-03-23;Entreprises;14605574649.0
2017-04-07;Résidentiels;15068209099.0
2017-04-12;PME / PMI;5019354417.0
2017-04-21;PME / PMI;4965704125.0
2017-05-04;Entreprises;14038931437.0
2017-05-16;Résidentiels;11153990205.0
2017-07-18;Entreprises;15251446522.0
2017-08-18;Professionnels;3762046743.0
2017-09-08;PME / PMI;4761739983.0
2017-09-17;Résidentiels;13715340669.0
2017-11-05;Résidentiels;18703818435.0
2017-11-09;Entreprises;14865971675.0
2018-01-16;PME / PMI;6966188015.0
2018-01-16;Professionnels;6239871616.0
2018-02-16;Résidentiels;24221473093.0
2018-02-21;Professionnels;6739378378.0
2018-04-01;Résidentiels;22578556820.0
2018-04-28;Professionnels;3604343495.0
2018-05-15;Résidentiels;13592018248.0
2018-05-19;Professionnels;3519847305.0
2018-05-29;PME / PMI;4687472831.0
2018-05-29;Entreprises;14115237309.0
2018-07-24;PME / PMI;5360793151.0
2018-07-24;Professionnels;4057598925.0
2018-07-24;Résidentiels;10506748096.0
2018-08-23;PME / PMI;4901240132.0
2018-08-23;Entreprises;13398195050.0
2018-08-27;Professionnels;3555041917.0
2018-09-18;Professionnels;4001346867.0
2018-10-06;Professionnels;3784366695.0
2018-10-20;Entreprises;9794047803.0
2018-11-09;Entreprises;13914453018.0
2018-11-12;Entreprises;13514472689.0
2018-11-18;PME / PMI;4371624588.0
2018-11-18;Professionnels;4718491512.0
2018-12-11;Résidentiels;23297982691.0
2018-12-29;PME / PMI;5755229366.0
2019-01-05;PME / PMI;5857035427.0
2019-01-14;Résidentiels;23852534283.0
2019-01-17;Professionnels;6434228829.0
2019-01-22;Professionnels;7069993093.0
2019-01-22;Résidentiels;29479109374.0
2019-02-13;Professionnels;6273890966.0
2019-02-23;Résidentiels;19888313404.0
2019-03-27;Professionnels;5057590671.0
2019-03-27;Entreprises;14373878890.0
2019-03-31;Entreprises;8776479835.0
2019-04-03;PME / PMI;5751645817.0
2019-04-07;Résidentiels;19715570036.0
2019-04-09;PME / PMI;5654630060.0
2019-05-11;Professionnels;3937340683.0
2019-05-12;Résidentiels;15375370995.0
2019-07-16;PME / PMI;5257124281.0
2019-08-25;PME / PMI;3555130091.0
2019-08-25;Résidentiels;11297453528.0
2019-09-01;Résidentiels;11657199770.0
2019-09-13;PME / PMI;4819993649.0
2019-09-13;Professionnels;3978255629.0
2019-10-11;Entreprises;13509564747.0
2019-10-23;Entreprises;13906013070.0
2019-10-30;Résidentiels;16163003584.0
2019-12-15;Résidentiels;23251028040.0
2020-04-11;Entreprises;8135444406.0
2020-04-26;Entreprises;7424391334.0
2020-05-06;Entreprises;11543777077.0
2020-05-15;Entreprises;11481386458.0
2020-05-31;PME / PMI;2777366706.0
2020-07-06;Résidentiels;11238208688.0
2020-07-09;Résidentiels;11159918002.0
2020-07-15;Entreprises;13258566140.0
2020-07-21;PME / PMI;4996485687.0
2020-08-28;PME / PMI;4533312832.0
2020-09-03;PME / PMI;4714767838.0
2020-09-21;Entreprises;13067822709.0
2020-10-02;PME / PMI;4978519175.0
2020-10-21;Entreprises;13726850459.0
2020-11-05;Résidentiels;19349635139.0
2020-11-21;Résidentiels;22992769542.0
2020-11-28;Résidentiels;21990181223.0
2020-11-28;Entreprises;10064196152.0
2020-11-29;PME / PMI;4075983559.0
2020-11-29;Résidentiels;24536556989.0
2020-12-01;Résidentiels;24472081603.0
2020-12-18;PME / PMI;5548009821.0
2020-12-18;Résidentiels;22254448552.0
2020-12-31;Professionnels;5475961145.0
2021-01-02;PME / PMI;3436539810.0
2021-01-17;PME / PMI;2935710315.0
2021-01-17;Professionnels;5253377453.0
2021-02-06;Résidentiels;22590711834.0
