"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1/1/2015","0","4570","58","0","167","438","1518","1786","227","285","28","26","437","226","34","2","1191","215","515","172","18","12","29","58","0","394","5","9","258","0","0","75","52","0","23","435","44","0","0","1","6","0","","","",""
"","1/2/2015","0","4741","60","0","166","450","2012","1967","263","335","26","28","384","165","36","2","1145","221","454","181","21","9","28","31","0","392","4","8","180","0","52","77","48","0","25","593","50","0","0","0","6","0","","","",""
"","1/3/2015","0","4670","63","0","163","444","1818","1999","296","328","28","28","447","224","32","2","1210","220","488","187","6","12","28","60","0","362","6","8","218","0","0","81","53","0","22","749","62","0","0","1","7","0","","","",""
"","1/4/2015","0","4938","69","0","172","474","1924","2032","312","331","26","32","396","168","37","2","1236","235","510","195","5","11","32","24","0","345","5","9","223","0","50","93","58","0","24","723","46","0","0","0","7","0","","","",""
"","1/5/2015","0","4793","62","0","178","539","1936","2071","301","342","25","28","470","228","36","2","1220","219","472","190","6","10","30","55","0","404","3","7","196","0","0","76","56","0","21","637","44","0","0","0","5","0","","","",""
"","1/6/2015","0","5323","60","0","180","556","2230","2056","275","320","29","29","438","236","74","2","1140","214","442","185","9","10","28","26","0","376","2","5","168","0","0","71","45","0","21","611","44","0","0","0","6","0","","","",""
"","1/7/2015","0","4580","62","0","177","539","1801","2070","272","319","28","27","370","162","38","2","1270","221","538","180","7","9","27","45","0","307","2","7","279","0","54","72","45","0","21","684","58","0","0","0","5","0","","","",""
"","1/8/2015","0","4605","61","0","173","531","1817","1861","267","317","28","27","432","233","33","2","1103","213","392","176","8","9","28","30","0","300","2","6","117","0","0","69","42","0","20","600","43","0","0","0","5","0","","","",""
"","1/9/2015","0","4562","59","0","167","490","1735","1739","274","312","30","28","361","165","36","2","1105","210","406","177","6","10","27","40","0","312","3","6","142","0","0","70","45","0","21","611","56","0","0","0","6","0","","","",""
"","1/10/2015","0","4642","63","0","164","439","1651","1641","247","297","26","34","411","229","32","2","1397","258","594","182","6","13","28","40","0","308","4","6","344","0","87","78","48","0","25","551","49","0","0","0","6","0","","","",""
"","1/11/2015","0","4519","67","0","171","468","1620","1692","289","313","29","32","356","169","33","2","1285","363","440","192","7","11","31","23","0","304","4","7","150","0","0","81","52","0","24","495","46","0","0","1","6","0","","","",""
"","1/12/2015","0","4539","63","0","184","553","1818","1787","315","322","28","28","430","231","41","2","1240","211","486","187","9","10","30","52","0","344","3","6","218","0","48","76","49","0","21","620","44","0","0","0","5","0","","","",""
"","1/13/2015","0","4748","59","0","181","557","1781","1805","318","318","41","27","421","219","54","2","1218","228","482","184","8","9","26","39","0","254","2","6","219","0","0","66","50","0","14","613","43","0","0","0","6","0","","","",""
"","1/14/2015","0","4808","64","0","179","552","1884","1822","324","322","37","31","363","163","39","2","1126","230","418","182","6","9","27","20","0","331","3","6","138","0","0","79","58","0","23","644","66","0","0","0","44","0","","","",""
"","1/15/2015","0","4859","59","0","175","557","1769","1828","322","318","32","29","453","239","37","2","1369","225","533","183","7","9","27","113","0","358","121","8","277","0","46","68","50","0","19","626","48","0","0","0","23","0","","","",""
"","1/16/2015","0","4544","61","0","170","506","1782","1847","323","318","28","29","372","165","37","2","1135","222","392","182","6","9","28","61","0","323","2","6","119","0","0","67","47","0","22","625","52","0","0","0","3","0","","","",""
"","1/17/2015","0","4511","67","0","170","459","1788","1760","304","300","30","34","420","229","30","2","1179","233","446","184","7","12","28","43","0","301","7","6","171","0","46","74","48","0","22","531","51","0","0","0","6","0","","","",""
"","1/18/2015","0","4661","74","0","179","473","1698","1770","310","307","29","46","360","167","34","2","1367","240","593","189","5","12","31","51","0","296","10","9","330","0","47","80","56","0","26","511","44","0","0","1","5","0","","","",""
"","1/19/2015","0","4478","68","0","191","548","1750","1815","327","320","27","28","441","233","40","2","1188","227","414","176","7","10","26","42","0","273","6","7","148","0","0","96","49","0","22","638","65","0","0","0","5","0","","","",""
"","1/20/2015","0","4837","67","0","187","565","1892","1793","323","315","29","27","427","222","48","2","1262","225","524","179","6","9","25","44","0","287","10","6","271","0","46","69","50","0","21","609","41","0","0","0","5","0","","","",""
"","1/21/2015","0","4747","68","0","192","576","1746","1806","322","310","29","26","398","185","40","2","1127","229","404","179","7","11","28","61","0","252","6","6","127","0","4","69","51","0","26","613","46","0","0","0","5","0","","","",""
"","1/22/2015","0","4780","68","0","184","564","1864","1812","325","314","29","27","471","261","43","2","1259","228","513","181","8","9","27","36","0","324","6","6","251","0","29","66","50","0","22","601","43","0","0","0","5","0","","","",""
"","1/23/2015","0","4691","66","0","188","521","1782","1650","324","302","23","28","350","188","36","2","1124","230","407","186","6","10","27","41","0","335","7","6","127","0","0","70","52","0","22","602","45","0","0","0","5","0","","","",""
"","1/24/2015","0","4980","64","0","182","473","1803","1750","304","292","28","29","429","249","31","2","1321","230","534","190","6","11","28","77","0","289","15","7","264","0","34","74","53","0","23","535","65","0","0","0","5","0","","","",""
"","1/25/2015","0","4359","68","0","195","492","1589","1750","322","305","23","34","386","193","35","2","1193","247","435","192","7","13","29","56","0","304","16","8","138","0","0","81","56","0","25","489","51","0","0","1","6","0","","","",""
"","1/26/2015","0","4759","62","0","194","565","1796","1643","308","326","23","29","460","264","41","2","1243","232","468","184","8","11","26","51","0","295","11","9","201","0","65","74","47","0","24","716","47","0","0","0","5","0","","","",""
"","1/27/2015","0","4603","62","0","192","569","1598","1356","275","323","28","28","401","191","37","2","1263","233","492","184","6","9","27","60","0","279","10","10","240","0","0","72","46","0","23","789","44","0","0","0","6","0","","","",""
"","1/28/2015","0","4878","61","0","199","573","1460","1321","278","318","26","30","475","264","37","2","1291","236","496","242","8","10","26","63","0","266","13","6","175","0","33","76","48","0","22","934","52","0","0","0","5","0","","","",""
"","1/29/2015","0","4321","60","0","186","547","1449","1309","270","321","24","28","402","193","41","2","1220","229","448","183","6","10","26","50","0","263","15","6","185","0","0","79","42","0","21","781","66","0","0","0","6","0","","","",""
"","1/30/2015","0","4461","55","0","195","509","1502","1317","264","328","25","27","463","266","32","2","1260","228","498","181","9","12","27","45","0","278","14","5","248","0","60","68","46","0","21","762","43","0","0","0","6","0","","","",""
"","1/31/2015","0","4370","64","0","187","469","1450","1236","248","302","26","30","379","192","34","2","1202","241","421","194","6","14","27","71","0","294","49","7","133","0","0","80","50","0","23","695","43","0","0","0","6","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BILAN","DEBITMETRE AC MARCOUX","DEBITMETRE NC MARCOUX","ALIMENTATION CHAMPOURCIN","DISTRIBUTION CHAMPOURCIN","LES ARCHES NORD","LES ARCHES","ALIMENTATION GRANDE FONTAINE","BAS SERVICE","EPINETTES","CHAUCHETS","LE BOURG","LES TRUYAS","HAUT SERVICE","PIGEONNIER","LES THERMES","MIROUES","DISTRIBUTION RIVE DROITE","LA SEBE","LE MOULIN","LES SIEYES","CAGUERENARD","BONNETTE","ROCASOLEIL","POMPAGE HAUTE SIEYES","POMPAGE COURBONS","HAUTE SIEYES","GAMATTE","COURBONS","VILLALAURE","ALIMENTATION DIEYES","ALIMENTATION HOSTELLERIES","PLAN GAUBERT","LES FERREOLS","LES DIEYES","LES HOSTELLERIES","LES AUGIERS","PLAN DE GAUBERT SUD","DISTRIBUTION LES FONTS","LES FONTS","LA BRAISSE","LES DOURBES","LE VILLARD DES DOURBES","","","",""
"","","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","Consommation (m3)","","","",""
"","CONSO TOTAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MENSUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Valeur TOTAL","0","144877","1964","0","5588","15996","54263","54091","9129","9780","871","914","12803","6520","1188","64","37889","7192","14654","5759","239","326","863","1508","0","9749","365","214","6255","0","701","2325","1541","0","687","19623","1542","0","0","13","227","12","","","",""
"","Valeur Moyenne","0","4673","63","0","180","516","1750","1745","294","315","28","29","413","210","38","2","1222","232","473","186","8","11","28","49","0","314","12","7","202","0","23","75","50","0","22","633","50","0","0","0","7","0","","","",""
"","Valeur Maxi","0","5323","74","0","199","576","2230","2071","327","342","41","46","475","266","74","2","1397","363","594","242","21","14","32","113","0","404","121","10","344","0","87","96","58","0","26","934","66","0","0","1","44","0","","","",""
"","Valeur Mini","0","4321","55","0","163","438","1449","1236","227","285","23","26","350","162","30","2","1103","210","392","172","5","9","25","20","0","252","2","5","117","0","0","66","42","0","14","435","41","0","0","0","3","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
